id;drive;speed.kmh;occ_nr;off;OT;TLC;FADE1.TLC.min;last_OT;last_FADE0.off.abs;steer.ampl;true.TLC.1.0;off.sd.avg.100.so;ratio_OT_TLC
P03;MO_60;60;56;-1.452034;.606193000000005;.100539999999995;.1;2.93206099999999;.676553;4.74705;1;.185070350916283;6.02937139447021
P03;MO_60;60;57;-.827709;2.134331;4.734331;-1.014374;.606193000000005;1.452034;1.35495;0;.185070350916283;.450819978577755
P03;MO_60;60;58;.457095;.709923000000003;8.509923;3.1;2.134331;.827709;3.6531;0;.185070350916283;.0834229639915664
P03;MO_60;60;59;.986587;.708022999999997;5.608023;6.5;.709923000000003;.457095;.5022;0;.185070350916283;.126251800322502
P03;MO_60;60;60;-.99166;2.837936;3.237936;4;.708022999999997;.986587;11.51055;0;.185070350916283;.876464513196061
P03;MO_60;60;61;-.899928;2.02624499999999;5.12624499999999;-.303299;2.837936;.99166;2.7279;0;.185070350916283;.395268856638728
P03;MO_60;60;62;.557866;1.51620499999999;8.61620499999998;3.3;2.02624499999999;.899928;6.50025;0;.185070350916283;.175971323802068
P03;MO_60;60;63;.449486;1.21923900000002;4.81923900000002;5.6;1.51620499999999;.557866;3.5298;0;.185070350916283;.252994093050794
P03;MO_60;60;64;-.869275;1.817048;3.117048;3.4;1.21923900000002;.449486;3.93705;0;.185070350916283;.582938729207892
P03;MO_60;60;65;-1.120249;.706192000000016;.201004000000012;.5;1.817048;.869275;2.41695;1;.185070350916283;3.51332311794777
P03;MO_60;60;66;.439054;2.12998900000002;9.42998900000002;3.9;.706192000000016;1.120249;12.91365;0;.185070350916283;.225873964434107
P03;MO_60;60;67;.595247;.607315;4.207315;5.7;2.12998900000002;.439054;2.205;0;.185070350916283;.14434740446104
P03;MO_60;60;68;-.421544;2.83746299999999;7.43746299999999;3.2;.607315;.595247;10.2771;0;.185070350916283;.381509528181854
P03;MO_60;60;69;.73372;2.330277;16.030277;4;2.83746299999999;.421544;5.80905;0;.185070350916283;.145367232269286
P03;MO_60;60;70;.721197;1.52183500000001;5.72183500000001;7.6;2.330277;.73372;.91575;0;.185070350916283;.265969745719687
P03;MO_60;60;71;-1.581074;2.32694999999998;1.922348;3.3;1.52183500000001;.721197;4.54095;1;.185070350916283;1.21047281761678
P03;MO_60;60;72;1.04924;.707031000000001;-.911467999999999;-.911468;2.32694999999998;1.581074;1.73925;0;.185070350916283;-.775705784514653
P03;MO_60;60;73;.910347;1.21154799999999;-2.02586300000001;-2.025863;.707031000000001;1.04924;.45765;0;.185070350916283;-.598040440049492
P03;MO_60;60;74;.678683;2.432312;2.932312;-3.743194;1.21154799999999;.910347;7.31025;0;.185070350916283;.8294860847004
P03;MO_60;60;75;-1.820999;.403334999999998;-.202378000000002;-.202378;2.432312;.678683;11.67705;0;.185070350916283;-1.99297848580376
P03;MO_60;60;76;-.403902;1.92851200000001;2.92851200000001;-1.112641;.403334999999998;1.820999;27.17145;0;.185070350916283;.658529656016435
P03;MO_60;60;77;1.844473;.912047999999999;.305480999999999;0;1.92851200000001;.403902;1.51965;0;.185070350916283;2.98561285317254
