id,OT,occ_total,l_exc_occ,l_exc_nonocc,steering_amp,TLC_model_ALL,TLC_before_occ,TLC_after_occ,OTTLC,occ_per_10sec,l_exc_10sec,speed,group,filter_$
9,2.62562484782609,46,2, , , , , ,13.5600471086957,3.18890814558059,.138648180242634,2,4,1
10,2.44508834883721,43,6, , , , , ,9.12445858139535,2.98093587521664,.415944540727903,2,4,1
11,1.42112834782609,69,6, , , , , ,6.84239944927536,4.78336221837088,.415944540727903,2,4,1
12,1.67504255384615,65,2, , , , , ,10.2302889384615,4.50606585788561,.138648180242634,2,4,1
13,1.49230688732394,71,2, , , , , ,9.14153398591549,4.92201039861352,.138648180242634,2,4,1
14,.774492455357143,112,0, , , , , ,9.21377816964286,7.76429809358752,0,2,4,1
15,.687051591666666,120,1, , , , , ,9.61703934166667,8.31889081455806,.0693240901213172,2,4,1
16,1.90365702564102,39,12, , , , , ,5.19879974358974,2.70363951473137,.831889081455806,2,4,1
17,2.49492882352941,34,9, , , , , ,7.53488761764706,2.35701906412478,.623916811091854,2,4,1
18,2.11606187272727,55,3, , , , , ,11.3407834,3.81282495667244,.207972270363951,2,4,1
19,1.20295788235294,85,0, , , , , ,8.11589905882353,5.89254766031196,0,2,4,1
20,2.06459090476191,42,7, , , , , ,6.99444121428571,2.91161178509532,.48526863084922,2,4,1
21,1.65890145454546,66,1, , , , , ,7.34038693939394,4.57538994800693,.0693240901213172,2,4,1
22,1.60220163235294,68,0, , , , , ,13.2772016323529,4.71403812824957,0,2,4,1
23,1.74165508064516,62,2, , , , , ,9.26877172580645,4.29809358752166,.138648180242634,2,4,1
24,2.03098328070175,57,0, , , , , ,12.9608078421053,3.95147313691508,0,2,4,1
25,2.39428173333333,45,1, , , , , ,7.9673682,3.11958405545927,.0693240901213172,2,4,1
26,2.204518125,48,1, , , , , ,11.321135375,3.32755632582322,.0693240901213172,2,4,1
27,3.0720207368421,38,3, , , , , ,9.78916281578947,2.63431542461005,.207972270363951,2,4,1
28,2.11564174,50,5, , , , , ,10.82907522,3.46620450606586,.346620450606586,2,4,1
29,2.3137149787234,47,1, , , , , ,10.2945057021277,3.25823223570191,.0693240901213172,2,4,1
30,1.26157895061728,81,0, , , , , ,15.7331838888889,5.61525129982669,0,2,4,1
1,2.584,19,0,0,.001,6.797,7.074,5.943,8.527, , ,3,1, 
1,2.611,19,0,0,.001,7.075,7.497,7.778,10.389, , ,3,1, 
2,2.579,19,0,0,.001,7.461,6.923,7.628,10.207, , ,3,1, 
3,2.553,19,0,0,.001,6.773,8.141,7.324,9.877, , ,3,1, 
4,2.563,19,0,0,.001,7.152,5.306,9.717,12.28, , ,3,1, 
5,2.616,19,0,0,.001,7.656,9.308,7.717,10.333, , ,3,1, 
6,2.6,19,0,0,.001,7.089,8.076,7.402,10.002, , ,3,1, 
7,2.521,19,0,0,.001,7.399,7.702,6.67,9.191, , ,3,1, 
8,2.563,19,0,0,.001,7.232,5.621,8.88,11.443, , ,3,1, 
9,2.616,19,0,0,.001,7.294,9.021,6.181,8.797, , ,3,1, 
10,2.616,19,0,0,.001,7.328,10.549,7.806,10.422, , ,3,1, 
11,2.605,19,0,0,.001,7.311,6.728,8.104,10.709, , ,3,1, 
12,2.589,19,0,0,.001,7.635,8.353,6.885,9.474, , ,3,1, 
13,2.644,18,0,0,.001,7.355,8.621,8.028,10.672, , ,3,1, 
14,2.568,19,0,0,.001,7.14,8.697,9.846,12.414, , ,3,1, 
15,2.632,19,0,0,.001,6.906,4.883,8.139,10.771, , ,3,1, 
16,2.611,19,0,0,.001,6.734,7.046,11.744,14.355, , ,3,1, 
17,2.579,19,0,0,.001,6.842,5.8,6.232,8.811, , ,3,1, 
18,2.584,19,0,0,.001,7.273,7.937,6.508,9.092, , ,3,1, 
19,2.558,19,0,0,.001,7.228,6.691,6.506,9.064, , ,3,1, 
20,2.521,19,0,0,.001,7.374,5.839,7.422,9.943, , ,3,1, 
21,2.574,19,0,0,.001,7.089,7.357,5.805,8.379, , ,3,1, 
22,2.537,19,0,0,.001,7.103,6.305,8.099,10.636, , ,3,1, 
23,2.568,19,0,0,.001,7.606,8.358,7.514,10.082, , ,3,1, 
24,2.579,19,0,0,.001,7.567,10.091,8.468,11.047, , ,3,1, 
25,2.621,19,0,0,.001,7.191,7.46,8.378,10.999, , ,3,1, 
26,2.558,19,0,0,.001,7.785,6.069,6.279,8.837, , ,3,1, 
27,2.616,19,0,0,.001,7.044,7.372,5.933,8.549, , ,3,1, 
28,2.621,19,0,0,.001,7.078,5.758,6.322,8.943, , ,3,1, 
29,2.526,19,0,0,.001,7.169,8.797,7.426,9.952, , ,3,1, 
30,2.595,19,0,0,.001,7.522,7.432,7.013,9.608, , ,3,1, 
