id;drive;OT or glance duration;steering amplitude;lane crossing;total search time;TLC at the beginning of occlusion;OT mean
P03;9;1.317047;2.49012;0;99.1049998733333;14.2;1.70212837837838
P04;9;1.527637;40.58928;0;83.1193334266667;1.42463;1.80768441558442
P04;9;.305775000000001;2.36052;0;83.1193334266667;.610699;1.80768441558442
P04;9;.409798000000002;.92916;0;83.1193334266667;1.421326;1.80768441558442
P04;9;.604906;3.56328;0;83.1193334266667;2.339356;1.80768441558442
P04;9;.404837000000001;1.45044;1;83.1193334266667;3.453667;1.80768441558442
P04;9;.607499999999998;4.19868;0;83.1193334266667;5.4;1.80768441558442
P04;9;1.111784;2.35836;0;83.1193334266667;5.8;1.80768441558442
P04;9;2.22971;1.81656;0;83.1193334266667;7.4;1.80768441558442
P04;9;1.926584;1.14228;0;83.1193334266667;9.8;1.80768441558442
P04;9;3.150395;1.99224;1;83.1193334266667;5.2;1.80768441558442
P04;9;.101031999999996;5.49324;0;83.1193334266667;.3;1.80768441558442
P04;9;.302509000000001;8.61336;0;83.1193334266667;.405606;1.80768441558442
P04;9;.710616999999999;27.7722;0;83.1193334266667;1.214989;1.80768441558442
P04;9;1.009472;3.14964;1;83.1193334266667;2.429051;1.80768441558442
P04;9;.911236000000002;.8496;0;83.1193334266667;6.4;1.80768441558442
P04;9;1.420479;6.8994;0;83.1193334266667;4.5;1.80768441558442
P04;9;1.923344;3.19716;1;83.1193334266667;1.7;1.80768441558442
P04;9;1.212345;3.38364;0;83.1193334266667;19.3;1.80768441558442
P04;9;2.126499;2.59272;0;83.1193334266667;3.5;1.80768441558442
P04;9;2.846417;3.44232;1;83.1193334266667;1.3;1.80768441558442
P04;9;.608147000000002;.4248;1;83.1193334266667;1.2;1.80768441558442
P04;9;3.96039500000001;2.77236;1;83.1193334266667;8.3;1.80768441558442
P04;9;2.437157;3.86712;0;83.1193334266667;4.2;1.80768441558442
P04;9;2.23120900000001;2.47932;1;83.1193334266667;1.7;1.80768441558442
P04;9;3.953895;2.41704;0;83.1193334266667;4.5;1.80768441558442
P04;9;3.94802900000001;.96696;0;83.1193334266667;13.2;1.80768441558442
P04;9;3.956245;.8496;0;83.1193334266667;6.3;1.80768441558442
P04;9;3.75780399999999;1.64088;0;83.1193334266667;9.2;1.80768441558442
P04;9;1.521683;3.9402;1;83.1193334266667;.6;1.80768441558442
P04;9;1.934181;1.87488;0;83.1193334266667;13.8;1.80768441558442
P04;9;3.963532;2.72448;0;83.1193334266667;4;1.80768441558442
P04;9;3.05014;1.45404;0;83.1193334266667;9;1.80768441558442
P04;9;3.147133;1.2744;0;83.1193334266667;12.3;1.80768441558442
P04;9;3.05400900000001;2.9592;0;83.1193334266667;9.7;1.80768441558442
P04;9;3.560699;1.2636;0;83.1193334266667;8.6;1.80768441558442
P04;9;4.26354199999999;1.14228;0;83.1193334266667;14.7;1.80768441558442
P04;9;4.56832900000001;3.0798;0;83.1193334266667;7.9;1.80768441558442
P04;9;4.988617;3.44232;1;83.1193334266667;7.8;1.80768441558442
P04;9;.812653000000012;18.30528;0;83.1193334266667;2.446197;1.80768441558442
P04;9;.608215000000001;10.0818;1;83.1193334266667;3.76535;1.80768441558442
P04;9;3.24272199999999;.71784;0;83.1193334266667;8.1;1.80768441558442
P04;9;1.92439200000001;2.72448;1;83.1193334266667;.5;1.80768441558442
P04;9;.814148000000017;5.43816;0;83.1193334266667;2.3;1.80768441558442
P04;9;1.21702500000001;4.04676;1;83.1193334266667;5.8;1.80768441558442
P04;9;1.83036799999999;2.1312;1;83.1193334266667;1.8;1.80768441558442
P04;9;.301788000000016;3.98448;0;83.1193334266667;1.2;1.80768441558442
P04;9;.506194999999991;4.3434;0;83.1193334266667;1.51947;1.80768441558442
P04;9;1.31684800000002;6.87384;1;83.1193334266667;2.533005;1.80768441558442
P04;9;1.01817299999999;6.60528;0;83.1193334266667;4.6;1.80768441558442
P04;9;1.72442599999999;3.50604;0;83.1193334266667;13.3;1.80768441558442
P04;9;1.82872;5.25888;0;83.1193334266667;5.4;1.80768441558442
P04;9;1.729737;6.78708;0;83.1193334266667;7.6;1.80768441558442
P04;9;1.11546300000001;5.7312;1;83.1193334266667;1.214188;1.80768441558442
P04;9;1.21618600000002;1.87488;0;83.1193334266667;6.4;1.80768441558442
P04;9;2.93713400000001;1.09836;1;83.1193334266667;4.8;1.80768441558442
P04;9;.607254000000012;8.53056;0;83.1193334266667;1.111435;1.80768441558442
P04;9;1.117707;3.86712;1;83.1193334266667;2.226562;1.80768441558442
P05;9;.506926999999999;12.4362;0;78.5199998133333;1.522006; 
P05;9;.512327000000001;7.12224;1;78.5199998133333;2.538306; 
P05;9;1.228562;4.10508;0;78.5199998133333;3; 
P05;9;.605789999999999;1.15704;1;78.5199998133333;1; 
P05;9;1.214732;1.68444;0;78.5199998133333;20.5; 
P05;9;1.222387;2.18268;0;78.5199998133333;4.5; 
P05;9;.81155;2.70972;0;78.5199998133333;11.3; 
P05;9;1.016893;2.5488;0;78.5199998133333;4.9; 
P05;9;1.015372;1.33308;0;78.5199998133333;4.8; 
P05;9;1.116676;2.60748;0;78.5199998133333;4; 
P05;9;.910681;7.47144;0;78.5199998133333;7.7; 
P05;9;.711092000000001;5.41476;0;78.5199998133333;3.6; 
P05;9;.406177999999997;2.52324;0;78.5199998133333;12.8; 
P05;9;1.31356;2.58192;0;78.5199998133333;5.2; 
P05;9;.910851000000001;1.02528;0;78.5199998133333;5.7; 
P05;9;1.218979;5.0832;0;78.5199998133333;5.8; 
P05;9;1.422302;1.02528;0;78.5199998133333;8.7; 
P05;9;1.834049;.24876;0;78.5199998133333;20.5; 
P05;9;1.724174;.4248;0;78.5199998133333;8.6; 
P05;9;1.320068;1.45008;0;78.5199998133333;12.2; 
P05;9;1.321652;.90792;0;78.5199998133333;8.2; 
P05;9;1.52097;.90828;0;78.5199998133333;19.7; 
P05;9;2.237774;4.22244;0;78.5199998133333;4.2; 
P05;9;1.822575;1.62612;0;78.5199998133333;3.6; 
P05;9;1.018551;5.49324;0;78.5199998133333;4.8; 
P05;9;2.126625;3.43116;0;78.5199998133333;5.9; 
